CAR_CHC_ID,POSITION_TITLE_E,SELECTION_PROCESS_NUMBER,POSITIONS_AVAILABLE,DEPT_CD,CLASSIFICATIONS,VARIOUS_WORK_LOCATION,TOTAL_SUBMITTED,POSTER_URL,cd,tot_in
908502,Senior Communications Advisor,2018-SVC-PAC-IA-311736,1,SVC,IS04,0,15,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=908502,5915,11
972643,MT-05 Research Meteorologist (Stream 1) - MT-06 Senior Research Meteorologist (Stream 2),16-DOE-QUE-IA-276021,0,DOE,MT05,0,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=972643,2466,4
972643,MT-05 Research Meteorologist (Stream 1) - MT-06 Senior Research Meteorologist (Stream 2),16-DOE-QUE-IA-276021,0,DOE,MT06,0,14,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=972643,2466,4
975479,Management System Evaluator (Amendment to Closing Date),16-DND-IA-HALFX-409315,1,DND,TI04,0,7,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=975479,1209,5
980347,Engagement Officer - ANTICIPATORY,2017-RSN-EA-LMS-174537,0,RSN,PM03,0,75,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=980347,3506,32
984124,Senior Counsel,2016-PPD-EA-NU-106185,0,PPD,LP03,1,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=984124,6106,0
984124,Senior Counsel,2016-PPD-EA-NU-106185,0,PPD,LP03,1,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=984124,6204,1
984459,Assistant Project Officer,2016-PEN-IA-NHQ-119857,1,PEN,AS04,0,39,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=984459,3506,21
984767,Senior Counsel - ANTICIPATORY STAFFING,2016-JUS-IA-JB-106452,0,JUS,LP03,1,47,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=984767,2466,18
984767,Senior Counsel - ANTICIPATORY STAFFING,2016-JUS-IA-JB-106452,0,JUS,LP03,1,47,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=984767,3506,9
985178,"Stream A: Manager, Operations; Stream B: Manager, Strategic and Corporate Services",2016-PEN-IA-NHQ-119892,0,PEN,AS07,0,36,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=985178,3506,13
986299,Junior Research Scientist in meteorological data assimilation,16-DOE-QUE-EA-281465,1,DOE,SERES01,0,38,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=986299,2466,13
986299,Junior Research Scientist in meteorological data assimilation,16-DOE-QUE-EA-281465,1,DOE,SERES02,0,38,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=986299,2466,10
986904,Salary Management Supervisor,17-NHW-CFOB-IA-NCR-199922,1,SHC,AS03,0,4,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=986904,3506,3
988884,ANTICIPATORY - Project Technologist,2016-IA-ISTB-EG06-197,2,BSF,EG06,0,7,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=988884,3506,2
989225,"Coordinator, Project Services",2016-CSD-IA-NHQ-23678,1,CSD,AS03,0,18,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=989225,2481,11
990291,Internal Disclosure Officer,2016-PEN-IA-NHQ-120256,0,PEN,AS05,0,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=990291,3506,13
992357,"Director General, Research and Analysis Directorate",16-AGR-NCR-IA-SP-430,1,AGR,EX02,0,7,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=992357,3506,4
992774,Security Intelligence Analyst,2016-PEN-IA-PAC-120550,0,PEN,AS04,0,50,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=992774,5909,18
994105,Various ADM(IE) Administrative Positions - 3 Streams,16-DND-IA-OTTWA-411835,5,DND,AS02,0,148,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=994105,3506,104
994738,Team Leader (shift work required),16-RCM-IA-N-S-NCR-IM/IT-63290,3,RCM,CS03,0,38,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=994738,3506,20
996773,Wireless Communications Network Technician,16-RCM-EA-O-LON-AP-VAR-63977,6,RCM,CS02,1,57,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=996773,3519,6
996773,Wireless Communications Network Technician,16-RCM-EA-O-LON-AP-VAR-63977,6,RCM,CS02,1,57,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=996773,3539,8
998048,Planning and Coordination Officer,17-DUS-NCR-IA-281182,1,DUS,AS03,0,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=998048,3506,3
998325,"Business Analyst, HR System / Senior Business Analyst, HR System",17-DUS-NCR-IA-284878,2,DUS,AS04,0,37,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=998325,3506,19
998325,"Business Analyst, HR System / Senior Business Analyst, HR System",17-DUS-NCR-IA-284878,2,DUS,AS05,0,37,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=998325,3506,15
999996,Compensation & Benefits Consultant,2016-IA-PAC-CPSD-AS02-1712,0,BSF,AS02,0,59,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=999996,5915,53
1000532,"Manager, Strategic Analysis",2017-SVC-IA-HQ-281707,1,SVC,EC07,0,29,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1000532,3506,23
1001264,Program Administrator / Administrative Projects Support Coordinator *Amendment to closing date*,17-EXT-IA-AC-1014743,2,EXT,AS02,0,58,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1001264,3506,39
1002518,Senior Executive Assistant,17-CSA-IA-83547,1,CSA,AS02,1,42,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1002518,2458,20
1002518,Senior Executive Assistant,17-CSA-IA-83547,1,CSA,AS02,1,42,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1002518,2458,20
1002658,Senior Administrative Officer (anticipatory),17-NHW-CSB-IA-NCR-189185,0,SHC,AS05,0,68,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1002658,3506,51
1002771,FSITP Manager,17-EXT-IA-EM-1014767,1,EXT,CS04,1,50,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1002771,2481,15
1002771,FSITP Manager,17-EXT-IA-EM-1014767,1,EXT,CS04,1,50,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1002771,3506,29
1003104,Administrative Services Officer,16-DFO-CEN-IA-EOS-177372,2,DFO,AS02,1,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003104,3524,0
1003104,Administrative Services Officer,16-DFO-CEN-IA-EOS-177372,2,DFO,AS02,1,22,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003104,4611,7
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,1001,18
1003433,OCCUPATIONAL HEALTH NURSE,17-NHW-CSB-EA-BC-189200,3,SHC,NUCHN03,1,151,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1003433,1209,6
