cd,var,edu,percent
1001,no_cert,"No certificate, diploma or degree",17.2
1001,high_school,Secondary (high) school diploma or equivalency certificate,25.3
1001,app_trade,Apprenticeship or trades certificate or diploma,10.1
1001,college_degep,"College, CEGEP or other non-university certificate or diploma",24.5
1001,uni_below_bach,University certificate or diploma below bachelor level,2.6
1001,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",20.3
1002,no_cert,"No certificate, diploma or degree",32.1
1002,high_school,Secondary (high) school diploma or equivalency certificate,19.8
1002,app_trade,Apprenticeship or trades certificate or diploma,15.6
1002,college_degep,"College, CEGEP or other non-university certificate or diploma",23.8
1002,uni_below_bach,University certificate or diploma below bachelor level,2.6
1002,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",6.1
1003,no_cert,"No certificate, diploma or degree",40.4
1003,high_school,Secondary (high) school diploma or equivalency certificate,23.9
1003,app_trade,Apprenticeship or trades certificate or diploma,10.5
1003,college_degep,"College, CEGEP or other non-university certificate or diploma",17.8
1003,uni_below_bach,University certificate or diploma below bachelor level,1.8
1003,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",5.7
1004,no_cert,"No certificate, diploma or degree",30.4
1004,high_school,Secondary (high) school diploma or equivalency certificate,23.5
1004,app_trade,Apprenticeship or trades certificate or diploma,12.8
1004,college_degep,"College, CEGEP or other non-university certificate or diploma",22.6
1004,uni_below_bach,University certificate or diploma below bachelor level,1.9
1004,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",8.9
1005,no_cert,"No certificate, diploma or degree",22.6
1005,high_school,Secondary (high) school diploma or equivalency certificate,25.4
1005,app_trade,Apprenticeship or trades certificate or diploma,12.3
1005,college_degep,"College, CEGEP or other non-university certificate or diploma",23.9
1005,uni_below_bach,University certificate or diploma below bachelor level,2.4
1005,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",13.4
1006,no_cert,"No certificate, diploma or degree",23.8
1006,high_school,Secondary (high) school diploma or equivalency certificate,25.9
1006,app_trade,Apprenticeship or trades certificate or diploma,12
1006,college_degep,"College, CEGEP or other non-university certificate or diploma",25
1006,uni_below_bach,University certificate or diploma below bachelor level,2
1006,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.3
1007,no_cert,"No certificate, diploma or degree",30.6
1007,high_school,Secondary (high) school diploma or equivalency certificate,26.4
1007,app_trade,Apprenticeship or trades certificate or diploma,12.8
1007,college_degep,"College, CEGEP or other non-university certificate or diploma",20.7
1007,uni_below_bach,University certificate or diploma below bachelor level,2.3
1007,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.2
1008,no_cert,"No certificate, diploma or degree",38.5
1008,high_school,Secondary (high) school diploma or equivalency certificate,25.7
1008,app_trade,Apprenticeship or trades certificate or diploma,12.4
1008,college_degep,"College, CEGEP or other non-university certificate or diploma",16.4
1008,uni_below_bach,University certificate or diploma below bachelor level,1.6
1008,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",5.4
1009,no_cert,"No certificate, diploma or degree",37.6
1009,high_school,Secondary (high) school diploma or equivalency certificate,26.4
1009,app_trade,Apprenticeship or trades certificate or diploma,9.9
1009,college_degep,"College, CEGEP or other non-university certificate or diploma",16.7
1009,uni_below_bach,University certificate or diploma below bachelor level,2
1009,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.3
1010,no_cert,"No certificate, diploma or degree",24.7
1010,high_school,Secondary (high) school diploma or equivalency certificate,21.9
1010,app_trade,Apprenticeship or trades certificate or diploma,15.1
1010,college_degep,"College, CEGEP or other non-university certificate or diploma",25.7
1010,uni_below_bach,University certificate or diploma below bachelor level,2.1
1010,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.6
1011,no_cert,"No certificate, diploma or degree",42.3
1011,high_school,Secondary (high) school diploma or equivalency certificate,22
1011,app_trade,Apprenticeship or trades certificate or diploma,9
1011,college_degep,"College, CEGEP or other non-university certificate or diploma",17.3
1011,uni_below_bach,University certificate or diploma below bachelor level,2.3
1011,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7
1101,no_cert,"No certificate, diploma or degree",23
1101,high_school,Secondary (high) school diploma or equivalency certificate,29.2
1101,app_trade,Apprenticeship or trades certificate or diploma,10.2
1101,college_degep,"College, CEGEP or other non-university certificate or diploma",22.2
1101,uni_below_bach,University certificate or diploma below bachelor level,2.7
1101,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.8
1102,no_cert,"No certificate, diploma or degree",15
1102,high_school,Secondary (high) school diploma or equivalency certificate,25.1
1102,app_trade,Apprenticeship or trades certificate or diploma,7.5
1102,college_degep,"College, CEGEP or other non-university certificate or diploma",24.8
1102,uni_below_bach,University certificate or diploma below bachelor level,2.9
1102,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",24.7
1103,no_cert,"No certificate, diploma or degree",25.3
1103,high_school,Secondary (high) school diploma or equivalency certificate,30.3
1103,app_trade,Apprenticeship or trades certificate or diploma,8.4
1103,college_degep,"College, CEGEP or other non-university certificate or diploma",22.5
1103,uni_below_bach,University certificate or diploma below bachelor level,2
1103,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.3
1201,no_cert,"No certificate, diploma or degree",35.6
1201,high_school,Secondary (high) school diploma or equivalency certificate,24.8
1201,app_trade,Apprenticeship or trades certificate or diploma,11.1
1201,college_degep,"College, CEGEP or other non-university certificate or diploma",19.2
1201,uni_below_bach,University certificate or diploma below bachelor level,1.8
1201,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.5
1202,no_cert,"No certificate, diploma or degree",30
1202,high_school,Secondary (high) school diploma or equivalency certificate,20.7
1202,app_trade,Apprenticeship or trades certificate or diploma,9.4
1202,college_degep,"College, CEGEP or other non-university certificate or diploma",25.8
1202,uni_below_bach,University certificate or diploma below bachelor level,2.3
1202,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.8
1203,no_cert,"No certificate, diploma or degree",31.6
1203,high_school,Secondary (high) school diploma or equivalency certificate,22
1203,app_trade,Apprenticeship or trades certificate or diploma,12.1
1203,college_degep,"College, CEGEP or other non-university certificate or diploma",20.1
1203,uni_below_bach,University certificate or diploma below bachelor level,2.9
1203,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.4
1204,no_cert,"No certificate, diploma or degree",27.5
1204,high_school,Secondary (high) school diploma or equivalency certificate,26
1204,app_trade,Apprenticeship or trades certificate or diploma,12.1
1204,college_degep,"College, CEGEP or other non-university certificate or diploma",21.6
1204,uni_below_bach,University certificate or diploma below bachelor level,2
1204,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10.7
1205,no_cert,"No certificate, diploma or degree",24.2
1205,high_school,Secondary (high) school diploma or equivalency certificate,25
1205,app_trade,Apprenticeship or trades certificate or diploma,11.8
1205,college_degep,"College, CEGEP or other non-university certificate or diploma",24
1205,uni_below_bach,University certificate or diploma below bachelor level,2.1
1205,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",12.8
1206,no_cert,"No certificate, diploma or degree",24
1206,high_school,Secondary (high) school diploma or equivalency certificate,23.6
1206,app_trade,Apprenticeship or trades certificate or diploma,12
1206,college_degep,"College, CEGEP or other non-university certificate or diploma",22.7
1206,uni_below_bach,University certificate or diploma below bachelor level,2.4
1206,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",15.3
1207,no_cert,"No certificate, diploma or degree",20.2
1207,high_school,Secondary (high) school diploma or equivalency certificate,26.4
1207,app_trade,Apprenticeship or trades certificate or diploma,9.8
1207,college_degep,"College, CEGEP or other non-university certificate or diploma",23.8
1207,uni_below_bach,University certificate or diploma below bachelor level,2
1207,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",17.8
1208,no_cert,"No certificate, diploma or degree",22.6
1208,high_school,Secondary (high) school diploma or equivalency certificate,25.6
1208,app_trade,Apprenticeship or trades certificate or diploma,11.9
1208,college_degep,"College, CEGEP or other non-university certificate or diploma",23.9
1208,uni_below_bach,University certificate or diploma below bachelor level,2.3
1208,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",13.6
1209,no_cert,"No certificate, diploma or degree",14.7
1209,high_school,Secondary (high) school diploma or equivalency certificate,25.3
1209,app_trade,Apprenticeship or trades certificate or diploma,7.8
1209,college_degep,"College, CEGEP or other non-university certificate or diploma",20.8
1209,uni_below_bach,University certificate or diploma below bachelor level,2.3
1209,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",29.1
1210,no_cert,"No certificate, diploma or degree",21.6
1210,high_school,Secondary (high) school diploma or equivalency certificate,27.7
1210,app_trade,Apprenticeship or trades certificate or diploma,10.4
1210,college_degep,"College, CEGEP or other non-university certificate or diploma",22.6
1210,uni_below_bach,University certificate or diploma below bachelor level,2.1
1210,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",15.7
1211,no_cert,"No certificate, diploma or degree",24.5
1211,high_school,Secondary (high) school diploma or equivalency certificate,28.4
1211,app_trade,Apprenticeship or trades certificate or diploma,10
1211,college_degep,"College, CEGEP or other non-university certificate or diploma",24.1
1211,uni_below_bach,University certificate or diploma below bachelor level,1.8
1211,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.1
1212,no_cert,"No certificate, diploma or degree",22.4
1212,high_school,Secondary (high) school diploma or equivalency certificate,24.7
1212,app_trade,Apprenticeship or trades certificate or diploma,11.8
1212,college_degep,"College, CEGEP or other non-university certificate or diploma",24.5
1212,uni_below_bach,University certificate or diploma below bachelor level,2.6
1212,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",14
1213,no_cert,"No certificate, diploma or degree",34.2
1213,high_school,Secondary (high) school diploma or equivalency certificate,23.2
1213,app_trade,Apprenticeship or trades certificate or diploma,12.6
1213,college_degep,"College, CEGEP or other non-university certificate or diploma",20.1
1213,uni_below_bach,University certificate or diploma below bachelor level,2.3
1213,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.7
1214,no_cert,"No certificate, diploma or degree",17.3
1214,high_school,Secondary (high) school diploma or equivalency certificate,22.2
1214,app_trade,Apprenticeship or trades certificate or diploma,12.1
1214,college_degep,"College, CEGEP or other non-university certificate or diploma",22
1214,uni_below_bach,University certificate or diploma below bachelor level,2.7
1214,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",23.8
